CODES SITE PLOT DATE SAMPLE_ID NUMBER_FLOWERS_COLLECTED COMMENTS1 COMMENTS2 COMMENTS3 D RECODE
SB 27 5 20200809 SB-27-5-20200809 na na na NA 2020-08-09 SB
SB 27 6 20200809 SB-27-6-20200809 na na na NA 2020-08-09 SB
SB 27 7 20200809 SB-27-7-20200809 na na na NA 2020-08-09 SB
SB 27 8 20200809 SB-27-8-20200809 na na na NA 2020-08-09 SB
SB 27 9 20200809 SB-27-9-20200809 na na na NA 2020-08-09 SB
SB 27 10 20200809 SB-27-10-20200809 na na na NA 2020-08-09 SB
SB 27 11 20200809 SB-27-11-20200809 na na na NA 2020-08-09 SB
SB 27 12 20200809 SB-27-12-20200809 na na na NA 2020-08-09 SB
FH 28 2 20200116 FH-28-02-20200116 1 2 additional bolting individuals (not at the right stage for sampling) na NA 2020-01-16 FH
FH 28 9 20200116 FH-28-09-20200116 3 4 additional flowering individuals (each only had 1 flowering bud) na NA 2020-01-16 FH
FH 28 12 20200116 FH-28-12-20200116 21 ~20 more flowering individuals (too late or too early to sample) na NA 2020-01-16 FH
FH 28 1 20200130 FH-28-01-20200130 2 na na NA 2020-01-30 FH
FH 28 2 20200130 FH-28-02-20200130 1 na na NA 2020-01-30 FH
FH 28 9 20200130 FH-28-09-20200130 8 na na NA 2020-01-30 FH
FH 28 12 20200130 FH-28-12-20200130 30 na na NA 2020-01-30 FH
FH 28 14 20200130 FH-28-14-20200130 1 na na NA 2020-01-30 FH
FH 28 16 20200130 FH-28-16-20200130 2 na na NA 2020-01-30 FH
FH 28 17 20200130 FH-28-17-20200130 3 na na NA 2020-01-30 FH
FH 28 1 20200214 FH-28-01-20200214 2 na na NA 2020-02-14 FH
FH 28 4 20200214 FH-28-04-20200214 4 na na NA 2020-02-14 FH
FH 28 6 20200214 FH-28-06-20200214 2 na na NA 2020-02-14 FH
FH 28 9 20200214 FH-28-09-20200214 7 na na NA 2020-02-14 FH
FH 28 12 20200217 FH-28-12-20200217 98 >100 flowering individuals, so randomly sampled na NA 2020-02-17 FH
FH 28 13 20200217 FH-28-13-20200217 10 na na NA 2020-02-17 FH
FH 28 14 20200217 FH-28-14-20200217 6 na na NA 2020-02-17 FH
FH 28 15 20200217 FH-28-15-20200217 6 na na NA 2020-02-17 FH
FH 28 16 20200217 FH-28-16-20200217 12 na na NA 2020-02-17 FH
FH 28 17 20200217 FH-28-17-20200217 7 na na NA 2020-02-17 FH
FH 28 2 20200302 FH-28-02-20200302 4 na na NA 2020-03-02 FH
FH 28 3 20200302 FH-28-03-20200302 12 na na NA 2020-03-02 FH
FH 28 4 20200302 FH-28-04-20200302 4 na na NA 2020-03-02 FH
FH 28 6 20200302 FH-28-06-20200302 12 na na NA 2020-03-02 FH
FH 28 9 20200302 FH-28-09-20200302 38 na na NA 2020-03-02 FH
FH 28 10 20200305 FH-28-10-20200305 8 na na NA 2020-03-05 FH
FH 28 12 20200305 FH-28-12-20200305 100 >100 flowering individuals, so randomly sampled na NA 2020-03-05 FH
FH 28 13 20200305 FH-28-13-20200305 26 na na NA 2020-03-05 FH
FH 28 14 20200305 FH-28-14-20200305 8 na na NA 2020-03-05 FH
FH 28 15 20200305 FH-28-15-20200305 22 na na NA 2020-03-05 FH
FH 28 16 20200305 FH-28-16-20200305 48 na na NA 2020-03-05 FH
FH 28 17 20200305 FH-28-17-20200305 22 na na NA 2020-03-05 FH
FH 28 18 20200305 FH-28-18-20200305 19 na na NA 2020-03-05 FH
SB 28 1 20200814 SB-28-01-20200814 na na na NA 2020-08-14 SB
SB 28 2 20200814 SB-28-02-20200814 na na na NA 2020-08-14 SB
SB 28 3 20200814 SB-28-03-20200814 na na na NA 2020-08-14 SB
SB 28 4 20200814 SB-28-04-20200814 na na na NA 2020-08-14 SB
SB 28 5 20200814 SB-28-05-20200814 na na na NA 2020-08-14 SB
SB 28 6 20200814 SB-28-06-20200814 na na na NA 2020-08-14 SB
