"sampleid","code","site","plot","date","year","month","day","flowerscollected","isreplicate","isfailedlabwork","isdispersion","sampleid_alternative","generation","generation_merge57","mapped_reads","coverage","usesample","weighted_mean_coverage"
"MLFH010720190415","FH",1,7,"20190415",2019,4,15,59,FALSE,FALSE,FALSE,NA,2,2,1266037,1.266037,TRUE,1.22426332631579
"MLFH010720190429","FH",1,7,"20190429",2019,4,29,19,FALSE,FALSE,FALSE,NA,2,2,1105879,1.105879,TRUE,1.22426332631579
"MLFH010720190513","FH",1,7,"20190513",2019,5,13,20,FALSE,FALSE,FALSE,NA,2,2,782541,0.782541,FALSE,NA
"MLFH010720190528","FH",1,7,"20190528",2019,5,28,16,FALSE,FALSE,FALSE,NA,2,2,773181,0.773181,FALSE,NA
"MLFH010720200329","FH",1,7,"20200323",2020,3,23,44,FALSE,FALSE,FALSE,"MLFH010720200323",3,3,7622334,7.622334,TRUE,6.40370859130435
"MLFH010720200406","FH",1,7,"20200406",2020,4,6,41,FALSE,FALSE,FALSE,NA,3,3,5961480,5.96148,TRUE,6.40370859130435
"MLFH010720200420","FH",1,7,"20200420",2020,4,20,10,FALSE,FALSE,FALSE,NA,3,3,8619180,8.61918,TRUE,6.40370859130435
"MLFH010720200504","FH",1,7,"20200504",2020,5,4,9,FALSE,FALSE,FALSE,NA,3,3,4388116,4.388116,TRUE,6.40370859130435
"MLFH010720200518","FH",1,7,"20200518",2020,5,18,9,FALSE,FALSE,FALSE,NA,3,3,2888172,2.888172,TRUE,6.40370859130435
"MLFH010720200602","FH",1,7,"20200602",2020,6,2,2,FALSE,FALSE,FALSE,NA,3,3,2472360,2.47236,TRUE,6.40370859130435
"MLFH010820180409","FH",1,8,"20180409",2018,4,9,51,FALSE,FALSE,FALSE,NA,1,1,1500841,1.500841,TRUE,1.20445954304636
"MLFH010820180423","FH",1,8,"20180423",2018,4,23,100,FALSE,FALSE,FALSE,NA,1,1,1053305,1.053305,TRUE,1.20445954304636
"MLFH010820180507","FH",1,8,"20180507",2018,5,7,77,FALSE,FALSE,FALSE,NA,1,1,967884,0.967884,FALSE,NA
"MLFH010820180518","FH",1,8,"20180518",2018,5,18,27,FALSE,FALSE,FALSE,NA,1,1,555982,0.555982,FALSE,NA
"MLFH010820190220","FH",1,8,"20190220",2019,2,20,3,FALSE,FALSE,FALSE,NA,2,2,1241650,1.24165,TRUE,3.8216239178744
"MLFH010820190401","FH",1,8,"20190401",2019,4,1,68,FALSE,FALSE,FALSE,NA,2,2,526405,0.526405,FALSE,NA
"MLFH010820190415","FH",1,8,"20190415",2019,4,15,100,FALSE,FALSE,FALSE,NA,2,2,1575687,1.575687,TRUE,3.8216239178744
"MLFH010820190429","FH",1,8,"20190429",2019,4,29,35,FALSE,FALSE,FALSE,NA,2,2,7565318,7.565318,TRUE,3.8216239178744
"MLFH010820190513","FH",1,8,"20190513",2019,5,13,34,FALSE,FALSE,FALSE,NA,2,2,5707319,5.707319,TRUE,3.8216239178744
"MLFH010820190528","FH",1,8,"20190528",2019,5,28,35,FALSE,FALSE,FALSE,NA,2,2,4884215,4.884215,TRUE,3.8216239178744
"MLFH010820200406","FH",1,8,"20200406",2020,4,6,7,FALSE,FALSE,FALSE,NA,3,3,4162801,4.162801,TRUE,3.976964
"MLFH010820200420","FH",1,8,"20200420",2020,4,20,1,FALSE,FALSE,FALSE,NA,3,3,2676105,2.676105,TRUE,3.976964
"MLFH010920180409","FH",1,9,"20180409",2018,4,9,56,FALSE,FALSE,FALSE,NA,1,1,8403265,8.403265,TRUE,8.22507653023256
"MLFH010920180423","FH",1,9,"20180423",2018,4,23,93,FALSE,FALSE,FALSE,NA,1,1,8053930,8.05393,TRUE,8.22507653023256
