SITE PLOT DATE RECORD_ID DIAGONAL_PLANT_NUMBER OFF.DIAGONAL_PLANT_NUMBER TOTAL_PLANT_NUMBER..OPTIONAL. MEAN_FRUITS_PER_PLANT..OPTIONAL. SD_FRUITS_PER_PLANT..OPTIONAL. COMMENTS COMMENTS2 D
28 2 20200227 28-02-20200227 17 8     NA 2020-02-27
28 3 20200227 28-03-20200227 8 15     NA 2020-02-27
28 4 20200227 28-04-20200227 18 17     NA 2020-02-27
28 5 20200227 28-05-20200227 6 13     NA 2020-02-27
28 6 20200227 28-06-20200227 13 14     NA 2020-02-27
28 7 20200227 28-07-20200227 22 18     NA 2020-02-27
28 8 20200227 28-08-20200227 33 29     NA 2020-02-27
28 9 20200227 28-09-20200227 11 16     NA 2020-02-27
28 10 20200227 28-10-20200227 8 6     NA 2020-02-27
28 11 20200227 28-11-20200227 14 33     NA 2020-02-27
28 12 20200227 28-12-20200227 54 70     NA 2020-02-27
28 13 20200227 28-13-20200227 9 15     NA 2020-02-27
28 14 20200227 28-14-20200227 14 20     NA 2020-02-27
28 15 20200227 28-15-20200227 22 20     NA 2020-02-27
28 16 20200227 28-16-20200227 20 19     NA 2020-02-27
28 17 20200227 28-17-20200227 11 10     NA 2020-02-27
28 18 20200227 28-18-20200227 22 9     NA 2020-02-27
53 1 20200320 53-01-20200320   * total number of plants was impossible to assess as there are a lot of very small, purplish rosettes that aggregate together which makes it impossible to count.    NA 2020-03-20
53 2 20200320 53-02-20200320   * total number of plants was impossible to assess as there are a lot of very small, purplish rosettes that aggregate together which makes it impossible to count.    NA 2020-03-20
53 3 20200320 53-03-20200320   * total number of plants was impossible to assess as there are a lot of very small, purplish rosettes that aggregate together which makes it impossible to count.    NA 2020-03-20
53 4 20200320 53-04-20200320   * total number of plants was impossible to assess as there are a lot of very small, purplish rosettes that aggregate together which makes it impossible to count.    NA 2020-03-20
53 5 20200320 53-05-20200320   * total number of plants was impossible to assess as there are a lot of very small, purplish rosettes that aggregate together which makes it impossible to count.    NA 2020-03-20
53 6 20200320 53-06-20200320   * total number of plants was impossible to assess as there are a lot of very small, purplish rosettes that aggregate together which makes it impossible to count.    NA 2020-03-20
53 7 20200320 53-07-20200320   * total number of plants was impossible to assess as there are a lot of very small, purplish rosettes that aggregate together which makes it impossible to count.    NA 2020-03-20
53 8 20200320 53-08-20200320   * total number of plants was impossible to assess as there are a lot of very small, purplish rosettes that aggregate together which makes it impossible to count.    NA 2020-03-20
53 9 20200320 53-09-20200320   * total number of plants was impossible to assess as there are a lot of very small, purplish rosettes that aggregate together which makes it impossible to count.    NA 2020-03-20
53 10 20200320 53-10-20200320   * total number of plants was impossible to assess as there are a lot of very small, purplish rosettes that aggregate together which makes it impossible to count.    NA 2020-03-20
53 11 20200320 53-11-20200320   * total number of plants was impossible to assess as there are a lot of very small, purplish rosettes that aggregate together which makes it impossible to count.    NA 2020-03-20
53 12 20200320 53-12-20200320   * total number of plants was impossible to assess as there are a lot of very small, purplish rosettes that aggregate together which makes it impossible to count.    NA 2020-03-20
4 1 20200212 4-1-20200212 Not done (lockdown) Not done (lockdown) 342 Not done (lockdown) Not done (lockdown) Maximum number of flowering and fruiting plants observed during the experiment (Late February). NA 2020-02-12
4 2 20200212 4-2-20200212 Not done (lockdown) Not done (lockdown) 188 Not done (lockdown) Not done (lockdown) Maximum number of flowering and fruiting plants observed during the experiment (Late February). NA 2020-02-12
4 3 20200212 4-3-20200212 Not done (lockdown) Not done (lockdown) 145 Not done (lockdown) Not done (lockdown) Maximum number of flowering and fruiting plants observed during the experiment (Late February). NA 2020-02-12
4 4 20200212 4-4-20200212 Not done (lockdown) Not done (lockdown) 11 Not done (lockdown) Not done (lockdown) Maximum number of flowering and fruiting plants observed during the experiment (Late February). NA 2020-02-12
4 5 20200212 4-5-20200212 Not done (lockdown) Not done (lockdown) 274 Not done (lockdown) Not done (lockdown) Maximum number of flowering and fruiting plants observed during the experiment (Late February). NA 2020-02-12
4 6 20200212 4-6-20200212 Not done (lockdown) Not done (lockdown) 232 Not done (lockdown) Not done (lockdown) Maximum number of flowering and fruiting plants observed during the experiment (Late February). NA 2020-02-12
4 7 20200212 4-7-20200212 Not done (lockdown) Not done (lockdown) 25 Not done (lockdown) Not done (lockdown) Maximum number of flowering and fruiting plants observed during the experiment (Late February). NA 2020-02-12
4 8 20200212 4-8-20200212 Not done (lockdown) Not done (lockdown) 45 Not done (lockdown) Not done (lockdown) Maximum number of flowering and fruiting plants observed during the experiment (Late February). NA 2020-02-12
4 9 20200212 4-9-20200212 Not done (lockdown) Not done (lockdown) 89 Not done (lockdown) Not done (lockdown) Maximum number of flowering and fruiting plants observed during the experiment (Late February). NA 2020-02-12
4 10 20200212 4-10-20200212 Not done (lockdown) Not done (lockdown) 102 Not done (lockdown) Not done (lockdown) Maximum number of flowering and fruiting plants observed during the experiment (Late February). NA 2020-02-12
4 11 20200212 4-11-20200212 Not done (lockdown) Not done (lockdown) 23 Not done (lockdown) Not done (lockdown) Maximum number of flowering and fruiting plants observed during the experiment (Late February). NA 2020-02-12
4 12 20200212 4-12-20200212 Not done (lockdown) Not done (lockdown) 30 Not done (lockdown) Not done (lockdown) Maximum number of flowering and fruiting plants observed during the experiment (Late February). NA 2020-02-12
4 1 20190320 4-1-20190320 69 70 492 2.04 2.48 Maximum number of flowering and fruiting plants observed during the experiment (late February). Mean and SD fruits per plant computed from all diagonal and off-diagonal plants. NA 2019-03-20
4 2 20190320 4-2-20190320 55 42 264 2.04 1.51 Maximum number of flowering and fruiting plants observed during the experiment (late February). Mean and SD fruits per plant computed from all diagonal and off-diagonal plants. NA 2019-03-20
4 3 20190320 4-3-20190320 65 51 398 2.12 2.01 Maximum number of flowering and fruiting plants observed during the experiment (late February). Mean and SD fruits per plant computed from all diagonal and off-diagonal plants. NA 2019-03-20
4 4 20190320 4-4-20190320 7 4 13 7.27 4.58 Maximum number of flowering and fruiting plants observed during the experiment (late February). Mean and SD fruits per plant computed from all diagonal and off-diagonal plants. NA 2019-03-20
4 5 20190320 4-5-20190320 24 22 117 6.39 5.31 Maximum number of flowering and fruiting plants observed during the experiment (late February). Mean and SD fruits per plant computed from all diagonal and off-diagonal plants. NA 2019-03-20
4 6 20190320 4-6-20190320 24 21 110 5.93 5.5 Maximum number of flowering and fruiting plants observed during the experiment (late February). Mean and SD fruits per plant computed from all diagonal and off-diagonal plants. NA 2019-03-20
4 7 20190320 4-7-20190320 22 18 106 3.68 2.12 Maximum number of flowering and fruiting plants observed during the experiment (late February). Mean and SD fruits per plant computed from all diagonal and off-diagonal plants. NA 2019-03-20
4 8 20190320 4-8-20190320 18 14 87 7.72 8.61 Maximum number of flowering and fruiting plants observed during the experiment (late February). Mean and SD fruits per plant computed from all diagonal and off-diagonal plants. NA 2019-03-20
4 9 20190320 4-9-20190320 24 25 92 7.12 7.77 Maximum number of flowering and fruiting plants observed during the experiment (late February). Mean and SD fruits per plant computed from all diagonal and off-diagonal plants. NA 2019-03-20
4 10 20190320 4-10-20190320 28 23 99 5.2 3.5 Maximum number of flowering and fruiting plants observed during the experiment (late February). Mean and SD fruits per plant computed from all diagonal and off-diagonal plants. NA 2019-03-20
4 11 20190320 4-11-20190320 23 21 76 6.41 4.79 Maximum number of flowering and fruiting plants observed during the experiment (late February). Mean and SD fruits per plant computed from all diagonal and off-diagonal plants. NA 2019-03-20
4 12 20190320 4-12-20190320 25 24 90 5.76 4.41 Maximum number of flowering and fruiting plants observed during the experiment (late February). Mean and SD fruits per plant computed from all diagonal and off-diagonal plants. NA 2019-03-20
55 1 20193020 55-01-20193020 NA NA 1 NA NA very small plants (diameter < 1cm) NA NA
55 2 20193020 55-02-20193020 NA NA 1 NA NA very small plants (diameter < 1cm) NA NA
55 3 20193020 55-03-20193020 NA NA 0 NA NA  NA NA
55 4 20193020 55-04-20193020 NA NA 0 NA NA  NA NA
55 5 20193020 55-05-20193020 NA NA 7 NA NA very small plants (diameter < 1cm) NA NA
55 6 20193020 55-06-20193020 NA NA 7 NA NA very small plants (diameter < 1cm) NA NA
55 7 20193020 55-07-20193020 NA NA 0 NA NA  NA NA
55 8 20193020 55-08-20193020 NA NA 3 NA NA very small plants (diameter < 1cm) NA NA
55 9 20193020 55-09-20193020 NA NA 0 NA NA  NA NA
55 10 20193020 55-10-20193020 NA NA 2 NA NA very small plants (diameter < 1cm) NA NA
55 11 20193020 55-11-20193020 NA NA 0 NA NA  NA NA
55 12 20193020 55-12-20193020 NA NA 12 NA NA very small plants (diameter < 1cm) NA NA
27 1 20190427 27-1-20190427 NA NA 7 NA NA  NA 2019-04-27
