ecotype,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
430,9.90747759166667,22.39516015,50.5461955293874,815.492115994099,30.912678,-13.393644,44.306322,19.5208762166667,2.06194366666667,19.5208762166667,-0.994428,805.618371,99.632454,27.394962,35.4289545351664,286.80777,110.00621,286.80777,113.239169
470,11.2030807708333,27.956001625,51.9470037742592,922.714563580018,33.71578,-20.100609,53.816389,20.1254379166667,-0.812353166666666,22.0337960833333,-0.812353166666666,972.124084,141.91354,51.374897,32.6430615173342,346.170986,166.810777,297.907661,166.810777
476,11.2030807708333,27.956001625,51.9470037742592,922.714563580018,33.71578,-20.100609,53.816389,20.1254379166667,-0.812353166666666,22.0337960833333,-0.812353166666666,972.124094,141.91354,51.374897,32.6430616833785,346.170986,166.810777,297.907661,166.810777
484,11.2030807708333,27.956001625,51.9470037742592,922.714563580018,33.71578,-20.100609,53.816389,20.1254379166667,-0.812353166666666,22.0337960833333,-0.812353166666666,972.124104,141.91354,51.374897,32.6430606371233,346.170986,166.810787,297.907661,166.810787
504,11.2030807708333,27.956001625,51.9470037742592,922.714563580018,33.71578,-20.100609,53.816389,20.1254379166667,-0.812353166666666,22.0337960833333,-0.812353166666666,972.124104,141.91354,51.374897,32.6430606371233,346.170986,166.810787,297.907661,166.810787
506,11.2030807708333,27.956001625,51.9470037742592,922.714563580018,33.71578,-20.100609,53.816389,20.1254379166667,-0.812353166666666,22.0337960833333,-0.812353166666666,972.124104,141.91354,51.374897,32.6430606371233,346.170986,166.810787,297.907661,166.810787
531,11.2030807708333,27.956001625,51.9470037742592,922.714563580018,33.71578,-20.100609,53.816389,20.1254379166667,-0.812353166666666,22.0337960833333,-0.812353166666666,972.124104,141.91354,51.374897,32.6430606371233,346.170986,166.810787,297.907661,166.810787
544,12.0605102441667,18.2348795116667,43.1399839666929,864.001885073147,30.788263,-11.480829,42.269092,18.8526431666667,20.1094626666667,22.6335108333333,1.54640895,1112.049831,117.933,70.47649,13.540114389762,301.49909,263.8075,263.98446,265.456126
546,12.0605102441667,18.2348795116667,43.1399839666929,864.001885073147,30.788263,-11.480829,42.269092,18.8526431666667,20.1094626666667,22.6335108333333,1.54640895,1112.049831,117.933,70.47649,13.540114389762,301.49909,263.8075,263.98446,265.456126
628,11.613771585,15.3936726633333,40.8852681789155,812.941860787287,27.838507,-9.812396,37.650903,18.51845955,21.5479311666667,21.5479311666667,1.83308716666667,1142.272518,120.090866,73.7596,13.3821446417764,309.305636,260.5275,260.5275,286.896475
630,11.613771585,15.3936726633333,40.8852681789155,812.941860787287,27.838507,-9.812396,37.650903,18.51845955,21.5479311666667,21.5479311666667,1.83308716666667,1142.272523,120.090866,73.759605,13.382143797098,309.305636,260.527505,260.527505,286.896475
