ID,match_1001G_250K,final1001G_name,final1001G_CS,final1001G_country,final1001G_latitude,final1001G_longitude,dat250K_name,dat250K_CS,dat250K_country,dat250K_latitude,dat250K_longitude,RegMap_name,RegMap_CS,RegMap_country,RegMap_latitude,RegMap_longitude,old1001G_name,old1001G_CS,old1001G_country,old1001G_latitude,old1001G_longitude
306,no,,,,,,TOU-A1-18, ,France,46.6667,4.11667,TOU-A1-18, ,France,46.6667,4.11667,,,,,
309,no,,,,,,TOU-A1-23, ,France,46.6667,4.11667,TOU-A1-23, ,France,46.6667,4.11667,,,,,
310,no,,,,,,TOU-A1-26, ,France,46.6667,4.11667,TOU-A1-26, ,France,46.6667,4.11667,,,,,
311,no,,,,,,TOU-A1-27, ,France,46.6667,4.11667,TOU-A1-27, ,France,46.6667,4.11667,,,,,
314,no,,,,,,TOU-A1-33, ,France,46.6667,4.11667,TOU-A1-33, ,France,46.6667,4.11667,,,,,
316,no,,,,,,TOU-A1-37, ,France,46.6667,4.11667,TOU-A1-37, ,France,46.6667,4.11667,,,,,
318,no,,,,,,TOU-A1-39, ,France,46.6667,4.11667,TOU-A1-39, ,France,46.6667,4.11667,,,,,
320,no,,,,,,TOU-A1-41, ,France,46.6667,4.11667,TOU-A1-41, ,France,46.6667,4.11667,,,,,
321,no,,,,,,TOU-A1-43, ,France,46.6667,4.11667,TOU-A1-43, ,France,46.6667,4.11667,,,,,
322,no,,,,,,TOU-A1-45, ,France,46.6667,4.11667,TOU-A1-45, ,France,46.6667,4.11667,,,,,
323,no,,,,,,TOU-A1-47, ,France,46.6667,4.11667,TOU-A1-47, ,France,46.6667,4.11667,,,,,
326,no,,,,,,TOU-A1-60, ,France,46.6667,4.11667,TOU-A1-60, ,France,46.6667,4.11667,,,,,
327,no,,,,,,TOU-A1-61, ,France,46.6667,4.11667,TOU-A1-61, ,France,46.6667,4.11667,,,,,
328,no,,,,,,TOU-A1-62, ,France,46.6667,4.11667,TOU-A1-62, ,France,46.6667,4.11667,,,,,
329,no,,,,,,TOU-A1-63, ,France,46.6667,4.11667,TOU-A1-63, ,France,46.6667,4.11667,,,,,
331,no,,,,,,TOU-A1-65, ,France,46.6667,4.11667,TOU-A1-65, ,France,46.6667,4.11667,,,,,
332,no,,,,,,TOU-A1-66, ,France,46.6667,4.11667,TOU-A1-66, ,France,46.6667,4.11667,,,,,
334,no,,,,,,TOU-A1-68, ,France,46.6667,4.11667,TOU-A1-68, ,France,46.6667,4.11667,,,,,
335,no,,,,,,TOU-A1-69, ,France,46.6667,4.11667,TOU-A1-69, ,France,46.6667,4.11667,,,,,
337,no,,,,,,TOU-A1-70, ,France,46.6667,4.11667,TOU-A1-70, ,France,46.6667,4.11667,,,,,
338,no,,,,,,TOU-A1-73, ,France,46.6667,4.11667,TOU-A1-73, ,France,46.6667,4.11667,,,,,
339,no,,,,,,TOU-A1-74, ,France,46.6667,4.11667,TOU-A1-74, ,France,46.6667,4.11667,,,,,
340,no,,,,,,TOU-A1-75, ,France,46.6667,4.11667,TOU-A1-75, ,France,46.6667,4.11667,,,,,
341,no,,,,,,TOU-A1-77, ,France,46.6667,4.11667,TOU-A1-77, ,France,46.6667,4.11667,,,,,
343,no,,,,,,TOU-A1-79, ,France,46.6667,4.11667,TOU-A1-79, ,France,46.6667,4.11667,,,,,
346,no,,,,,,TOU-A1-81, ,France,46.6667,4.11667,TOU-A1-81, ,France,46.6667,4.11667,,,,,
347,no,,,,,,TOU-A1-82, ,France,46.6667,4.11667,TOU-A1-82, ,France,46.6667,4.11667,,,,,
348,no,,,,,,TOU-A1-84, ,France,46.6667,4.11667,TOU-A1-84, ,France,46.6667,4.11667,,,,,
349,no,,,,,,TOU-A1-85, ,France,46.6667,4.11667,TOU-A1-85, ,France,46.6667,4.11667,,,,,
350,no,TOU-A1-88,CS77382,FRA,46.6667,4.11667,,,,,,,,,,,TOU-A1-88,TOU-A1-88,FRA,46.6667,4.11667
351,no,TOU-A1-89,CS77383,FRA,46.6667,4.11667,,,,,,,,,,,TOU-A1-89,TOU-A1-89,FRA,46.6667,4.11667
355,no,,,,,,TOU-A1-93, ,France,46.6667,4.11667,TOU-A1-93, ,France,46.6667,4.11667,,,,,
357,no,,,,,,TOU-A1-96, ,France,46.6667,4.11667,TOU-A1-96, ,France,46.6667,4.11667,,,,,
359,no,,,,,,TOU-A1-98, ,France,46.6667,4.11667,TOU-A1-98, ,France,46.6667,4.11667,,,,,
360,no,,,,,,TOU-C-1, ,France,46.6667,4.11667,TOU-C-1, ,France,46.6667,4.11667,,,,,
361,no,,,,,,TOU-C-2, ,France,46.6667,4.11667,TOU-C-2, ,France,46.6667,4.11667,,,,,
362,no,,,,,,TOU-C-3, ,France,46.6667,4.11667,TOU-C-3, ,France,46.6667,4.11667,,,,,
363,no,,,,,,TOU-D-1, ,France,46.6667,4.11667,TOU-D-1, ,France,46.6667,4.11667,,,,,
364,no,,,,,,TOU-D-5, ,France,46.6667,4.11667,TOU-D-5, ,France,46.6667,4.11667,,,,,
366,no,,,,,,TOU-E-11, ,France,46.6667,4.11667,TOU-E-11, ,France,46.6667,4.11667,,,,,
367,no,,,,,,TOU-E-2, ,France,46.6667,4.11667,TOU-E-2, ,France,46.6667,4.11667,,,,,
368,no,,,,,,TOU-E-7, ,France,46.6667,4.11667,TOU-E-7, ,France,46.6667,4.11667,,,,,
369,no,,,,,,TOU-F-1, ,France,46.6667,4.11667,TOU-F-1, ,France,46.6667,4.11667,,,,,
371,no,,,,,,TOU-G-1, ,France,46.6667,4.11667,TOU-G-1, ,France,46.6667,4.11667,,,,,
372,no,,,,,,TOU-H-10, ,France,46.6667,4.11667,TOU-H-10, ,France,46.6667,4.11667,,,,,
373,no,,,,,,TOU-H-12, ,France,46.6667,4.11667,TOU-H-12, ,France,46.6667,4.11667,,,,,
374,no,,,,,,TOU-H-13, ,France,46.6667,4.11667,TOU-H-13, ,France,46.6667,4.11667,,,,,
375,no,,,,,,TOU-H-3, ,France,46.6667,4.11667,TOU-H-3, ,France,46.6667,4.11667,,,,,
377,no,,,,,,TOU-I-1, ,France,46.6667,4.11667,TOU-I-1, ,France,46.6667,4.11667,,,,,
378,no,,,,,,TOU-I-17, ,France,46.6667,4.11667,TOU-I-17, ,France,46.6667,4.11667,,,,,
379,no,,,,,,TOU-I-2, ,France,46.6667,4.11667,TOU-I-2, ,France,46.6667,4.11667,,,,,
