CODES,SITE,PLOT,DATE,SAMPLE_ID,NUMBER_FLOWERS_COLLECTED,TO_SKIP,REPLICATES
FH,28,6,20200214,FH-28-06-20200214,2,,
FH,28,6,20200302,FH-28-06-20200302,12,,
FH,28,9,20200116,FH-28-09-20200116,3,,
FH,28,9,20200130,FH-28-09-20200130,8,,
FH,28,9,20200214,FH-28-09-20200214,7,,
FH,28,9,20200302,FH-28-09-20200302,38,,
FH,32,3,20200117,FH-32-03-20200117,9,,
FH,32,3,20200131,FH-32-03-20200131,32,,
FH,32,3,20200214,FH-32-03-20200214,84,,
FH,32,4,20200117,FH-32-04-20200117,2,,
FH,32,4,20200131,FH-32-04-20200131,3,,
FH,32,4,20200214,FH-32-04-20200214,15,,
FH,42,3,20200319,FH-42-03-20200319,11,,
FH,42,4,20200331,FH-42-04-20200331,11,,
FH,43,5,20200224,FH-43-05-20200224,5,,
FH,43,5,20200309,FH-43-05-20200309,33,,
FH,43,6,20200224,FH-43-06-20200224,3,,
FH,43,6,20200309,FH-43-06-20200309,27,,
FH,45,4,20200127,FH-45-04-20200127,1,,
FH,45,4,20200210,FH-45-04-20200210,81,,
FH,45,4,20200225,FH-45-04-20200225,44,,
FH,45,4,20200310,FH-45-04-20200310,1,,
FH,45,5,20200210,FH-45-05-20200210,7,,
FH,45,5,20200225,FH-45-05-20200225,1,,
FH,46,3,20200403,FH-46-03-20200403,100,,
FH,46,3,20200417,FH-46-03-20200417,75,,
FH,46,3,20200430,FH-46-03-20200430,37,,
FH,46,3,20200515,FH-46-03-20200515,51,,
FH,46,3,20200529,FH-46-03-20200529,5,,
FH,46,4,20200403,FH-46-04-20200403,100,,
FH,46,4,20200417,FH-46-04-20200417,76,,
FH,46,4,20200430,FH-46-04-20200430,26,,
FH,46,4,20200515,FH-46-04-20200515,60,,
FH,46,4,20200529,FH-46-04-20200529,5,,
FH,48,6,20200508,FH-48-06-20200508,7,,
FH,48,8,20200508,FH-48-08-20200508,4,,
FH,52,3,20200320,FH-52-03-20200320,93,,
