,id,Sequenced by,Name,Country,Lat,Long,Collector,CS Number,Admixture Group
119,5104,Monsanto,UKSE06-252,UK,51.3,0.5,Eric Holub,CS78800,ltblu_circle
120,5151,Monsanto,UKSE06-325,UK,52.2,-1.7,Eric Holub,CS78801,forbidden
121,5165,Monsanto,UKSE06-362,UK,51.3,0.4,Eric Holub,CS78802,forbidden
122,5210,Monsanto,UKSE06-432,UK,51.2,0.3,Eric Holub,CS78803,blu_circle
123,5236,Monsanto,UKSE06-470,UK,51.2,0.4,Eric Holub,CS78804,blu_circle
124,5249,MPI,UKSE06-491,UK,51.2,0.3,Eric Holub,CS79003,blu_circle
125,5253,Monsanto,UKSE06-500,UK,51.1,0.6,Eric Holub,CS78805,blu_circle
126,5276,Monsanto,UKSE06-533,UK,51.3,1.1,Eric Holub,CS78806,blu_circle
127,5279,MPI,UKSE06-541,UK,51.3,1.1,Eric Holub,CS79004,blu_circle
128,5349,Monsanto,UKSE06-639,UK,51.1,0.4,Eric Holub,CS78807,blu_circle
129,5353,Monsanto,UKNW06-003,UK,54.5,-3.0,Eric Holub,CS78792,blu_circle
130,5395,MPI,UKNW06-102,UK,54.4,-3.0,Eric Holub,CS79005,blu_circle
131,5486,Monsanto,UKNW06-233,UK,54.6,-3.3,Eric Holub,CS78794,ltblu_circle
132,5577,Monsanto,UKNW06-403,UK,54.7,-3.4,Eric Holub,CS78797,blu_circle
133,5644,Monsanto,UKNW06-481,UK,54.4,-2.9,Eric Holub,CS78798,blu_circle
134,5651,MPI,UKNW06-488,UK,54.4,-2.9,Eric Holub,CS79006,blu_circle
135,5717,MPI,Bra-1,UK,54.6,-3.2,Eric Holub,CS79007,blu_circle
136,5718,MPI,UKID11,UK,57.0,-3.4,Eric Holub,CS79008,blu_circle
137,5720,Monsanto,Cal-2,UK,53.3,-1.6,D. Ratcliffe,CS78781,forbidden
138,5726,Monsanto,Cnt-1,UK,51.3,1.1,Eric Holub,CS78782,blu_circle
139,5741,Monsanto,For-2,UK,56.6,-4.1,D. Ratcliffe,CS78783,blu_circle
140,5748,Monsanto,Kil-0,UK,56.0,-4.4,D. Ratcliffe,CS78784,ltblu_circle
141,5757,Monsanto,Mc-1,UK,54.6,-2.3,D. Ratcliffe,CS78785,forbidden
142,5768,"Monsanto,MPI",UKID63,UK,54.1,-1.5,Eric Holub,CS78786,forbidden
143,5772,Monsanto,Set-1,UK,54.1,-2.3,D. Ratcliffe,CS78787,forbidden
144,5776,MPI,UKID71,UK,52.9,-1.3,Eric Holub,CS79009,blu_circle
145,5779,Monsanto,UKID74,UK,51.0,-3.1,Eric Holub,CS78789,blu_circle
146,5784,Monsanto,Ty-1,UK,56.4,-5.2,D. Ratcliffe,CS78790,forbidden
147,5798,MPI,UKID93,UK,53.1,-3.3,Eric Holub,CS79010,blu_circle
148,5800,Monsanto,UKID96,UK,57.4,-5.5,Eric Holub,CS78791,ltblu_circle
149,5811,Monsanto,UKID107,UK,52.9,-3.1,Eric Holub,CS78778,forbidden
150,5822,Monsanto,UKID116,UK,56.7333,-5.98333,Eric Holub,CS78780,forbidden
151,5830,GMI,App1-12,SWE,56.3333,15.9667,Magnus Nordborg,CS76667,red_circle
152,5831,GMI,App1-14,SWE,56.3333,15.9667,Magnus Nordborg,CS76668,red_circle
153,5832,GMI,App1-16,SWE,56.3333,15.9667,Magnus Nordborg,CS76669,red_circle
154,5836,GMI,Boo2-3,SWE,55.86,13.51,Magnus Nordborg,CS77906,red_circle
155,5837,Salk,Bor-1,CZE,49.4013,16.2326,Jirina Relichov,CS76453,ylw_circle
156,5856,GMI,Dör-10,SWE,63.0167,17.4914,Magnus Nordborg,CS76806,orange_circle
157,5860,GMI,Dra-3,SWE,62.6814,18.0165,Magnus Nordborg,CS77913,orange_circle
158,5865,GMI,Dra1-4,SWE,55.76,14.12,Magnus Nordborg,CS76809,red_circle
159,5867,GMI,Dra2-1,SWE,55.76,14.12,Magnus Nordborg,CS76810,red_circle
160,5874,Monsanto,DraII-6,CZE,49.4112,16.2815,Jirina Relichov,CS76814,ylw_circle
161,5890,Monsanto,DraIV 1-8,CZE,49.4112,16.2815,Jirina Relichov,CS76817,ylw_circle
162,5893,Monsanto,DraIV 1-11,CZE,49.4112,16.2815,Jirina Relichov,CS76816,ylw_circle
163,5907,Monsanto,DraIV 2-9,CZE,49.4112,16.2815,Jirina Relichov,CS76818,ylw_circle
164,5921,Monsanto,DraIV 3-7,CZE,49.4112,16.2815,Jirina Relichov,CS76819,ylw_circle
165,5950,Monsanto,DraIV 5-12,CZE,49.4112,16.2815,Jirina Relichov,CS76820,ylw_circle
166,5984,Monsanto,DraIV 6-13,CZE,49.4112,16.2815,Jirina Relichov,CS76822,ylw_circle
167,5993,Monsanto,DraIV 6-22,CZE,49.4112,16.2815,Jirina Relichov,CS76823,ylw_circle
168,6008,Salk,Duk,CZE,49.1,16.2,Jirina Relichov,CS76824,ylw_circle
169,6009,GMI,Eden-1,SWE,62.877,18.177,Magnus Nordborg,CS76826,orange_circle
170,6010,GMI,Eden-5,SWE,62.877,18.177,Magnus Nordborg,CS78000,orange_circle
171,6011,GMI,Eden-6,SWE,62.877,18.177,Magnus Nordborg,CS76828,orange_circle
172,6012,GMI,Eden-7,SWE,62.877,18.177,Magnus Nordborg,CS76829,orange_circle
173,6013,GMI,Eden-9,SWE,62.877,18.177,Magnus Nordborg,CS76830,orange_circle
174,6016,GMI,Eds-1,SWE,62.9,18.4,Magnus Nordborg,CS76834,orange_circle
175,6017,GMI,Eds-9,SWE,62.9,18.4,Magnus Nordborg,CS76835,orange_circle
176,6019,GMI,Fjä1-2,SWE,56.06,14.29,Magnus Nordborg,CS76860,red_circle
177,6020,GMI,Fjä1-5,SWE,56.06,14.29,Magnus Nordborg,CS76861,red_circle
178,6021,GMI,Fjä2-4,SWE,56.06,14.29,Magnus Nordborg,CS76862,red_circle
179,6022,GMI,Fjä2-6,SWE,56.06,14.29,Magnus Nordborg,CS78009,red_circle
180,6023,GMI,Fly2-1,SWE,55.7509,13.3712,Magnus Nordborg,CS76863,red_circle
181,6024,GMI,Fly2-2,SWE,55.7509,13.3712,Magnus Nordborg,CS76864,red_circle
182,6025,GMI,Gro-3,SWE,62.6437,17.7339,Magnus Nordborg,CS76889,orange_circle
183,6030,GMI,Grön-5,SWE,62.806,18.1896,Magnus Nordborg,CS76893,orange_circle
184,6034,GMI,Hov1-7,SWE,56.1,13.74,Magnus Nordborg,CS76932,red_circle
185,6035,GMI,Hov1-10,SWE,56.1,13.74,Magnus Nordborg,CS76931,red_circle
186,6036,GMI,Hov3-2,SWE,56.1,13.74,Magnus Nordborg,CS76934,red_circle
187,6038,GMI,Hov3-5,SWE,56.1,13.74,Magnus Nordborg,CS76935,red_circle
188,6039,GMI,Hovdala-2,SWE,56.1,13.74,Torbjorn Sall,CS76937,forbidden
189,6040,GMI,Kni-1,SWE,55.66,13.4,Magnus Nordborg,CS76970,red_circle
190,6041,GMI,Lis-3,SWE,56.0328,14.775,Magnus Nordborg,CS77044,red_circle
191,6042,GMI,Lom1-1,SWE,56.09,13.9,Magnus Nordborg,CS77048,forbidden
192,6043,GMI,Löv-1,SWE,62.801,18.079,Magnus Nordborg,CS77049,orange_circle
193,6046,GMI,Löv-5,SWE,62.801,18.079,Magnus Nordborg,CS77050,orange_circle
194,6064,GMI,Nyl-2,SWE,62.9513,18.2763,Magnus Nordborg,CS77136,orange_circle
195,6069,GMI,Nyl-7,SWE,62.9513,18.2763,Magnus Nordborg,CS77137,orange_circle
196,6070,GMI,Omn-1,SWE,62.9308,18.3448,Magnus Nordborg,CS77145,orange_circle
197,6071,GMI,Omn-5,SWE,62.9308,18.3448,Magnus Nordborg,CS77146,orange_circle
198,6073,GMI,ÖMö1-7,SWE,56.1481,15.8155,Magnus Nordborg,CS77147,red_circle
199,6074,GMI,Ör-1,SWE,56.4573,16.1308,Magnus Nordborg,CS77150,red_circle
200,6076,GMI,Rev-2,SWE,55.6942,13.4504,Magnus Nordborg,CS77215,red_circle
201,6077,GMI,Rev-3,SWE,55.6942,13.4504,Magnus Nordborg,CS78030,red_circle
202,6085,GMI,Sparta-1,SWE,55.7097,13.2145,Magnus Nordborg,CS77260,red_circle
203,6086,GMI,Sr:3,SWE,58.9,11.2,Ivo Cetl,CS77267,forbidden
204,6087,GMI,Stu-2,SWE,56.4666,16.1284,Magnus Nordborg,CS78033,red_circle
205,6088,GMI,Stu1-1,SWE,56.4666,16.1284,Magnus Nordborg,CS77285,red_circle
206,6090,GMI,T1000,SWE,55.6525,13.2197,Mattias Jakobsson,CS77288,red_circle
207,6091,GMI,T1010,SWE,55.6525,13.215,Mattias Jakobsson,CS78035,red_circle
208,6092,GMI,T1020,SWE,55.6514,13.2233,Mattias Jakobsson,CS77289,red_circle
209,6094,GMI,T1040,SWE,55.6494,13.2147,Mattias Jakobsson,CS77290,red_circle
210,6095,GMI,T1050,SWE,55.6486,13.2161,Mattias Jakobsson,CS78039,red_circle
211,6096,GMI,T1060,SWE,55.6472,13.2225,Mattias Jakobsson,CS78040,red_circle
212,6097,GMI,T1070,SWE,55.6481,13.2264,Mattias Jakobsson,CS77291,red_circle
213,6098,GMI,T1080,SWE,55.6561,13.2178,Mattias Jakobsson,CS77292,red_circle
214,6099,GMI,T1090,SWE,55.6575,13.2386,Mattias Jakobsson,CS77293,red_circle
215,6100,GMI,T1110,SWE,55.6,13.2,Mattias Jakobsson,CS77294,red_circle
216,6101,GMI,T1120,SWE,55.6,13.2,Mattias Jakobsson,CS78045,red_circle
217,6102,GMI,T1130,SWE,55.6,13.2,Mattias Jakobsson,CS77295,red_circle
218,6104,GMI,T1160,SWE,55.7,13.2,Mattias Jakobsson,CS77296,red_circle
219,6105,GMI,T450,SWE,55.7967,13.1211,Mattias Jakobsson,CS77297,red_circle
220,6106,GMI,T460,SWE,55.7931,13.1186,Mattias Jakobsson,CS77298,red_circle
221,6107,GMI,T470,SWE,55.7942,13.1222,Mattias Jakobsson,CS77299,red_circle
222,6108,GMI,T480,SWE,55.7989,13.1206,Mattias Jakobsson,CS77300,blu_circle
223,6109,GMI,T510,SWE,55.7936,13.1233,Mattias Jakobsson,CS77301,red_circle
224,6111,GMI,T530,SWE,55.7989,13.1219,Mattias Jakobsson,CS77302,red_circle
225,6112,GMI,T540,SWE,55.7967,13.1044,Mattias Jakobsson,CS77303,red_circle
226,6113,GMI,T550,SWE,55.8078,13.1028,Mattias Jakobsson,CS77304,red_circle
227,6114,GMI,T570,SWE,55.8097,13.1342,Mattias Jakobsson,CS77305,red_circle
228,6115,GMI,T580,SWE,55.8,13.1367,Mattias Jakobsson,CS77306,red_circle
229,6118,GMI,T610,SWE,55.7,13.2,Mattias Jakobsson,CS77307,red_circle
230,6119,GMI,T620,SWE,55.7,13.2,Mattias Jakobsson,CS78060,red_circle
231,6122,GMI,T670,SWE,55.8364,13.3075,Mattias Jakobsson,CS77308,red_circle
232,6123,GMI,T680,SWE,55.8369,13.3033,Mattias Jakobsson,CS78064,red_circle
233,6124,GMI,T690,SWE,55.8378,13.3092,Mattias Jakobsson,CS77309,red_circle
234,6125,GMI,T710,SWE,55.8403,13.3106,Mattias Jakobsson,CS77310,red_circle
235,6126,GMI,T720,SWE,55.8411,13.3047,Mattias Jakobsson,CS77311,red_circle
236,6128,GMI,T740,SWE,55.8397,13.2881,Mattias Jakobsson,CS77313,red_circle
237,6131,GMI,T780,SWE,55.8369,13.3181,Mattias Jakobsson,CS77315,red_circle
238,6132,GMI,T790,SWE,55.8386,13.3186,Mattias Jakobsson,CS77316,red_circle
239,6133,GMI,T800,SWE,55.8364,13.2906,Mattias Jakobsson,CS77317,red_circle
240,6134,GMI,T810,SWE,55.8383,13.2906,Mattias Jakobsson,CS77318,red_circle
241,6136,GMI,T840,SWE,55.9336,13.5519,Mattias Jakobsson,CS77319,red_circle
242,6137,GMI,T850,SWE,55.9419,13.5603,Mattias Jakobsson,CS77320,red_circle
243,6138,GMI,T860,SWE,55.9403,13.5511,Mattias Jakobsson,CS77321,red_circle
244,6140,GMI,T880,SWE,55.9392,13.5539,Mattias Jakobsson,CS77322,red_circle
245,6141,GMI,T890,SWE,55.9414,13.5542,Mattias Jakobsson,CS78079,red_circle
246,6142,GMI,T900,SWE,55.9428,13.5558,Mattias Jakobsson,CS77323,red_circle
247,6145,GMI,T930,SWE,55.9497,13.5533,Mattias Jakobsson,CS77324,red_circle
248,6148,GMI,T960,SWE,55.9319,13.5508,Mattias Jakobsson,CS77325,red_circle
249,6149,GMI,T970,SWE,55.9281,13.5481,Mattias Jakobsson,CS77326,red_circle
250,6150,GMI,T980,SWE,55.9261,13.5319,Mattias Jakobsson,CS77327,red_circle
251,6151,GMI,T990,SWE,55.6528,13.2244,Mattias Jakobsson,CS77328,red_circle
252,6153,GMI,TAA 03,SWE,62.6425,17.7422,Mattias Jakobsson,CS77329,orange_circle
253,6154,GMI,TAA 04,SWE,62.6422,17.7406,Mattias Jakobsson,CS77330,orange_circle
254,6163,GMI,TAA 14,SWE,62.6425,17.7356,Mattias Jakobsson,CS77331,orange_circle
255,6166,GMI,TAA 17,SWE,62.6425,17.7372,Mattias Jakobsson,CS77332,orange_circle
256,6169,GMI,TÅD 01,SWE,62.8714,18.3447,Mattias Jakobsson,CS77333,orange_circle
257,6172,GMI,TÅD 04,SWE,62.8717,18.3436,Mattias Jakobsson,CS77335,orange_circle
258,6173,GMI,TÅD 05,SWE,62.8717,18.3419,Mattias Jakobsson,CS77336,orange_circle
259,6174,GMI,TÅD 06,SWE,62.8719,18.3422,Mattias Jakobsson,CS77337,orange_circle
260,6177,GMI,TÄL 03,SWE,62.6322,17.69,Mattias Jakobsson,CS77338,orange_circle
261,6180,GMI,TÄL 07,SWE,62.6322,17.6906,Mattias Jakobsson,CS77339,ltblu_circle
262,6184,GMI,TBÖ 01,SWE,62.8892,18.4522,Mattias Jakobsson,CS77343,orange_circle
263,6188,GMI,TDr-1,SWE,55.7683,14.1386,Mattias Jakobsson,CS77345,red_circle
264,6189,GMI,TDr-2,SWE,55.7686,14.1383,Mattias Jakobsson,CS77351,red_circle
265,6191,GMI,TDr-4,SWE,55.7689,14.1375,Mattias Jakobsson,CS77352,red_circle
266,6192,GMI,TDr-5,SWE,55.7692,14.1369,Mattias Jakobsson,CS77353,red_circle
267,6193,GMI,TDr-7,SWE,55.7694,14.1347,Mattias Jakobsson,CS77354,red_circle
268,6194,GMI,TDr-8,SWE,55.7706,14.1342,Mattias Jakobsson,CS77355,red_circle
269,6195,GMI,TDr-9,SWE,55.7708,14.1342,Mattias Jakobsson,CS77356,red_circle
270,6198,GMI,TDr-13,SWE,55.7708,14.1331,Mattias Jakobsson,CS77347,red_circle
271,6201,GMI,TDr-16,SWE,55.7719,14.1211,Mattias Jakobsson,CS77348,red_circle
272,6202,GMI,TDr-17,SWE,55.7717,14.1206,Mattias Jakobsson,CS77349,red_circle
273,6203,GMI,TDr-18,SWE,55.7714,14.1208,Mattias Jakobsson,CS77350,red_circle
274,6209,GMI,TEDEN 02,SWE,62.8836,18.1842,Mattias Jakobsson,CS77358,orange_circle
275,6210,GMI,TEDEN 03,SWE,62.8839,18.1836,Mattias Jakobsson,CS77359,orange_circle
276,6214,GMI,TFÄ 04,SWE,63.0175,18.3281,Mattias Jakobsson,CS78121,orange_circle
277,6216,GMI,TFÄ 06,SWE,63.0167,18.3283,Mattias Jakobsson,CS77362,orange_circle
